Company Name,Status,Ownership Type,Year Founded,Primary HQ City,County,Service Area (Counties),Sub-Region,Property Types,Targets Small Landlords,Portfolio Size (Units),Principals / Owners,Address,Phone,Website,PM Software,Tenant Portal,Tenant Payment Methods,Mgmt Fee %,Leasing Fee,Renewal Fee,Setup Fee,Maintenance Markup,Application Fee,Accepts Portable Screening,Credit Min,Income Ratio,Associations,Designations,Yelp Rating,Yelp Count,BBB Rating,Follow-up Flag,Notes,
Bell-Anderson & Associates,Confirmed Independent,Family-Owned,1972,Auburn,King,King,South King,"SFR, Condo, Townhome, Multifamily, Commercial, HOA",Yes,,"Vickie Gaskill, Carrie Snyder, Jennifer Corp","4508 Auburn Way N Ste A-100, Auburn, WA 98002",(253) 852-8195,bell-anderson.net,AppFolio (inferred); Rentvine for screening,Branded portal,"ACH, eCheck, Credit/Debit Card",,,,,,,No,,,"NARPM, IREM, WSCAI, Kent Chamber","AMO, CRMC",3.5,37,,,5 family members on staff,
SJA Property Management,Confirmed Independent,Founder-Owned,2009,Redmond,King,King,Eastside,"SFR, Condo, Townhome, Small Multifamily",Yes,1000,"Devin Easterlin (CEO), Derek Bunyard, Alanna Farrington","16398 NE 85th St #200, Redmond, WA 98052",(425) 658-1920,propertymanagersseattle.com,AppFolio,AppFolio Online Portal,"ACH, eCheck, Credit/Debit, Apple Pay",10%,"60% (min $1,850)",25% (min $500),$385 SFR / $200 per unit MF,,,No,650,3.0x,"NARPM, RHAWA",,4.5,178,A+,,"Inc 5000 2016, 2017; PSBJ Hall of Fame 2019",
Real Property Associates (RPA),Confirmed Independent,Founder-Owned,1991,Seattle,King,"King, Snohomish","Seattle, Eastside, Snohomish","SFR, Small Multifamily",Yes,,,Seattle / Everett / Bellevue / Edmonds offices,(206) 523-0300,rentseattle.com,AppFolio,rentseattle.com,"ACH, eCheck, Credit/Debit, Apple Pay",,,,,,,No,,,,,,,,,95% online rent payment adoption,
Brink Property Management,Confirmed Independent,Founder-Owned,1996,Bellevue,King,"King, Snohomish","Eastside, South Snohomish","SFR, Multifamily",Yes,,Dean Foggitt (President),"12011 Bel-Red Rd #101, Bellevue, WA 98005",(425) 458-4848,,AppFolio (inferred),Branded portal,"ACH, eCheck, Card",,,,,,,,,,,,,94,,,Annual revenue per D&B ~$960K,
Gregory Property Management,Confirmed Independent,Family-Owned,,Bothell,King,"King, Snohomish","Eastside, South Snohomish",SFR,Yes,,Brad Gregory,"Bothell, WA",,,AppFolio (inferred),Owner portal,"ACH, Card",7% start,No leasing fee until placed,,,0% (transparent),,,,,,,,,,,"30+ years; in-house maintenance; $1,500 pet damage guarantee",
AHC Property Management,Confirmed Independent,Family-Owned (Women-led),1983,Redmond,King,King,Eastside,"SFR, Condo",Yes,,"Mary, Danielle, Stacey",Redmond / Bellevue area,,,AppFolio (inferred),,"ACH, Card",,,,,,,,,,Eastside Property Managers Association (original member),,,,,,,
North Pacific Property Management,Flag-Review,Founder-Owned (large),2000,Seattle,King,"King, Snohomish","Seattle, Eastside, Snohomish",SFR,Yes,,Joshua Fant (Founder),"2220 Queen Anne Ave N, Seattle, WA 98109",(206) 781-0186,,AppFolio (inferred),,"ACH, Card",,,,,,,,,,,,,179,,"Scale check: 160 brokers, 23 PMs",PSBJ 100 Fastest Growing 6x,
Verraterra Property Management,Confirmed Independent,Unknown-Local,,,King,"King, Snohomish","Eastside, Snohomish, Seattle","SFR, Multifamily, HOA, Condo",Yes,,,Bellevue area,,,,,,,,,,,,,,,,,,,,,15+ years; broad service area,
Seattle Rental Management,Confirmed Independent,Boutique,,Seattle,King,King,"Queen Anne, Seattle","SFR, Multifamily",Yes,,"Eric, Tiffany, Channel, Tia, Rob","Queen Anne, Seattle",,,,,,,,,,,,,,,,,,,,,Boutique,
The Joseph Group,Confirmed Independent,Founder-Owned,,Seattle,King,King + 5 more (six-county),"Seattle, Capitol Hill, NE","SFR, Multifamily",Yes,,,Seattle,,,AppFolio,AppFolio,"ACH, Card",,,,,,,,610,,,,,,,,In-house construction + brokerage; Eviction Protection Plan,
