zcta,county,h1b_workers_est,l1_workers_est,opt_students_est,f1_students_est,total_visa_est,total_visa_renter_est,data_method
98001,King,233,18,37,157,445,423,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98002,King,373,29,60,395,857,814,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98003,King,808,62,130,559,1559,1481,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98004,King,2695,207,432,675,4009,3809,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98005,King,900,69,144,242,1355,1287,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98006,King,593,46,95,158,892,847,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98007,King,1494,115,239,414,2262,2149,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98008,King,487,37,78,139,741,704,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98010,King,48,4,8,17,77,73,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98011,King,859,66,138,271,1334,1267,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98012,Snohomish,858,66,137,889,1950,1852,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98014,King,37,3,6,14,60,57,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98019,King,62,5,10,22,99,94,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98020,Snohomish,220,17,35,212,484,460,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98021,Snohomish,254,19,41,244,558,530,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98022,King,137,11,22,91,261,248,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98023,King,585,45,94,328,1052,999,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98024,King,36,3,6,13,58,55,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98025,King,0,0,0,0,0,0,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98026,Snohomish,340,26,54,415,835,793,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98027,King,656,50,105,192,1003,953,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98028,King,448,34,72,150,704,669,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98029,King,943,73,151,248,1415,1344,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98030,King,490,38,78,334,940,893,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98031,King,399,31,64,251,745,708,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98032,King,684,53,110,473,1320,1254,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98033,King,1307,101,209,341,1958,1860,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98034,King,1386,107,222,460,2175,2066,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98036,Snohomish,428,33,69,636,1166,1108,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98037,Snohomish,282,22,45,437,786,747,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98038,King,238,18,38,98,392,372,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98039,King,55,4,9,12,80,76,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98040,King,761,59,122,185,1127,1071,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98042,King,287,22,46,163,518,492,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98043,Snohomish,283,22,45,390,740,703,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98045,King,129,10,21,47,207,197,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98047,King,50,4,8,54,116,110,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
