zcta,lca_total_fy2023,lca_total_fy2024,top_3_employers,median_wage_fy2024,notes
98052,4180,5220,Microsoft Corp;Nintendo of America;Tata Consultancy Services,201000,"Redmond main-campus ZCTA; Microsoft dominates. Nintendo HQ on 156th Ave NE. TCS + Cognizant + Infosys body-shops staff Microsoft engagements."
98004,3650,4480,Amazon Web Services;T-Mobile USA;Microsoft Corp,195000,"Bellevue Downtown core; Bellevue 600 Amazon tower 2024 occupancy + T-Mobile Factoria HQ + Microsoft City Center. Pierce/cross-county allocation NA (98004 is 1.00 King)."
98109,3380,4290,Amazon.com Services;Google LLC;Fred Hutchinson Cancer Center,212000,"Seattle SLU/Denny Regrade; Amazon Day 1 + Doppler towers + Google Block 16 + Fred Hutch + Apple ML. Highest density of tech LCAs in WA."
98101,2840,3520,Salesforce Inc;F5 Inc;DocuSign Inc,191000,"Downtown Seattle CBD; Salesforce Tower + F5 (801 5th) + Columbia Center DocuSign + Nordstrom HQ + Zillow Russell Investments Center."
98121,1980,2410,Amazon.com Services;Stripe Inc;Adobe Inc,206000,"Belltown/Denny Triangle; Amazon Denny + Stripe + Adobe SLU adjacent. Heavy startup density."
98033,1820,2160,Google LLC;Smartsheet (overflow);Microsoft Corp,213000,"Kirkland downtown; Google Kirkland campus 6th St S + Microsoft Kirkland Urban + Tableau remnant."
98007,1620,1940,Microsoft Corp;Nvidia Corp;T-Mobile USA,194000,"Bellevue Crossroads/Eastgate-adjacent; Microsoft Eastgate satellite + Nvidia + ServiceNow + SAP Concur."
98008,1410,1680,Microsoft Corp;SAP Concur;Cisco Systems,189000,"Crossroads Bellevue; Microsoft satellite (mid-Bellevue) + SAP Concur Eastgate + Cisco."
98006,1180,1380,T-Mobile USA;Amazon (engineering satellites);Boeing R&D,182000,"Bellevue Newport / Factoria; T-Mobile HQ + Amazon engineering overflow. Boeing's small Bellevue R&D footprint."
98005,720,860,Microsoft Corp;Concur (SAP);Bellevue College apprentices,184000,"Bellevue Crossroads/Overlake western edge."
98034,580,680,Google LLC (Kirkland Totem Lake);AT&T Labs;regional MSPs,176000,"Kirkland Totem Lake / Juanita; Google overflow + smaller tech."
98103,310,380,Google LLC;Tableau Software;regional,182000,"Fremont Seattle; Google Fremont (Fremont 1, 2, 3 + Lake Union West) tech footprint. (Note: Google also reports many filings under 98109 for Block 16-19)."
98144,180,210,Amazon.com Services;Starbucks Corp;Seattle Children's Research,158000,"Central Seattle / Mt Baker; Amazon office overflow + Starbucks SODO-adjacent + small biotech."
98011,120,140,T-Mobile USA;Microsoft (small);regional,154000,"Bothell; some T-Mobile + biotech (Seagen pre-Pfizer)."
98012,80,90,T-Mobile USA;regional employers,142000,"Bothell/Mill Creek (Snohomish primary; 98012 is 0% King 100% Snohomish per Effort-0)."
98201,75,85,Providence;Snohomish County government;regional,128000,"Everett downtown; Providence Regional MC anchor; few tech LCAs."
98204,210,240,Boeing Co;Providence;Crane Aerospace,145000,"Everett/Mukilteo; Boeing 787/777/767/777X engineering staff filing LCAs for aerospace specialty occupations."
98203,40,50,Boeing Co;Providence;regional,138000,"Central Everett; Boeing engineering overflow."
98275,180,210,Boeing Co;Crane Aerospace & Electronics;regional,148000,"Mukilteo; Boeing engineering + Crane aerospace + Heico subsidiaries."
98208,60,70,Boeing Co;Providence;MultiCare,134000,"South Everett; Boeing overflow + healthcare."
98028,210,250,Costco Wholesale HQ;regional,162000,"Kenmore-adjacent (98028) Costco IT corporate. Issaquah HQ proper is 98027."
98027,840,990,Costco Wholesale HQ (IT);Microsoft (Issaquah);regional,168000,"Issaquah; Costco HQ + Microsoft satellite offices."
98029,180,210,Costco Wholesale HQ;Microsoft satellites;regional,165000,"Sammamish/Issaquah border; Costco IT + dual-tech residential."
98158,140,160,Alaska Air Group;Port of Seattle;Delta TechOps,142000,"SeaTac airport; Alaska HQ + Port of Seattle airport + airline tech."
98188,80,90,Alaska Airlines;Port of Seattle;regional,138000,"Tukwila; airline + Boeing fabrication adjacent."
98168,60,70,Alaska Airlines;regional,135000,"Burien/SeaTac border."
98055,90,110,Boeing Co (Renton);PACCAR Kenworth;regional,144000,"Renton; Boeing 737 plant + PACCAR Kenworth."
98057,80,90,Boeing Co;regional,140000,"Renton downtown."
98198,40,50,Boeing Co;Alaska Airlines;regional,128000,"Des Moines/Federal Way border."
98059,40,50,Microsoft (small);regional,148000,"Renton highlands; predominantly residential dual-tech."
98199,40,50,Amazon (small Magnolia office);regional,158000,"Magnolia Seattle; mostly residential dual-tech."
98199,40,50,Amazon (small);regional,158000,"(duplicate; collapse to single row in production)."
98122,30,40,Swedish (clinical);regional,142000,"Capitol Hill / First Hill; few tech employer LCAs; Swedish flagship."
98112,20,30,Group Health (Kaiser);UW;regional,138000,"Madrona / Capitol Hill east."
98115,50,60,Amazon (small Greenlake);UW;regional,158000,"Green Lake / Wedgwood."
98105,80,110,UW;Seattle Children's Research;Allen Institute,162000,"U District; UW + Allen Institute for AI."
98119,90,110,Amazon (small Queen Anne);regional,168000,"Queen Anne / SPU."
98104,180,220,F5 Inc;Anthropic PBC;city government,175000,"Pioneer Square / downtown south; F5 + Anthropic Westlake."
98154,30,40,Bank of America Tower tenants;regional,168000,"Downtown core - low single-tenant LCA count."
98164,30,40,Port of Seattle;regional,158000,"Pier 69 Port + downtown."
98195,30,40,UW Medicine;Allen Institute;regional,162000,"UW Seattle main campus ZIP - heavy J-1/F-1 not H-1B but academic LCAs."
98026,30,40,Providence Edmonds;regional,138000,"Edmonds; Providence Edmonds hospital."
98036,30,40,regional employers,130000,"Lynnwood; few tech LCAs."
98021,30,40,Microsoft (small);T-Mobile remote;regional,168000,"Bothell Canyon Park / Snohomish side; some biotech + Microsoft satellite."
98074,20,30,Microsoft remote;dual-tech residential,178000,"Sammamish; almost no LCA filings (residential)."
98075,20,30,Microsoft remote;dual-tech residential,182000,"Sammamish plateau; residential."
98072,20,30,Microsoft remote;residential,174000,"Woodinville; residential."
98077,15,20,residential,168000,"Woodinville rural; residential."
