employer_name,headcount_2019,headcount_2021,headcount_2023,headcount_2025,cumulative_layoffs_2022_2025,largest_layoff_event_date,largest_layoff_event_count,rto_posture_2026,primary_worksite_zips,h1b_approvals_fy2022,h1b_approvals_fy2023,h1b_approvals_fy2024,lca_median_wage_fy2024,notes
Microsoft Corp,48000,55000,60000,57000,18000,2024-07-10,1000,full-rto,98052;98008;98004;98033;98109,4385,3760,4729,196000,"Regional headcount Seattle metro; main campus Redmond 98052 + Bellevue satellites (do not aggregate). Jan-2023 -10k global / ~2,200 regional; layoffs continued through 2024-2025 (LinkedIn-Surface device team May-2024 ~1,500, gaming Jun-2024 ~650, Xbox Jan-2025 ~650, May-2025 ~6,000 global w/ ~1,985 WA per WARN). Sep-2024 full 5-day in-office mandate effective Feb-2025. H-1B figures USCIS Employer Data Hub initial+continuing approvals."
Amazon.com Inc,55000,75000,68000,55000,20000,2023-03-20,9000,full-rto,98109;98101;98121;98144;98004;98007;98006,8222,6396,8442,201000,"Seattle SLU + Bellevue regional headcount; ~70-75k regional peak 2022. Cumulative Puget Sound ~20k 2022-2025 (Nov-2022 ~2,300 regional / Jan-Mar 2023 ~9,000 regional out of 27k global / Mar-Apr 2024 ~1,500 / Jul-Sep 2024 ~1,500 / Oct-2024 AWS 2025 layoffs ~1,000 / Oct-2025 14k corp layoffs concentrated Puget Sound). Sep-2024 5-day RTO mandate effective Jan-2025 (Bellevue tower expansion continued). LCA wage: AWS SDE-II median Bellevue."
Meta Platforms Inc,1100,2500,2200,2000,1100,2022-11-09,650,hybrid-3,98101;98004,604,425,581,229000,"Regional Bellevue + Seattle SLU office footprint. Reality Labs Redmond is small. Smaller WA presence than the Bay Area; 2022 layoff cut ~650 WA; 2023 ~250 add'l rounds. 3-day in-office mandate (T-W-Th). H-1B from USCIS; wage from LCA median."
Google LLC,3500,7000,6800,6500,800,2023-01-20,300,hybrid-3,98103;98109;98033;98034,4068,2848,4106,225000,"Seattle Fremont + South Lake Union (Block 16, 18, 19) + Kirkland engineering (98033 + 98034). Cloud + Search + Ads + Maps engineering hubs. Jan-2023 12k global, ~300 WA WARN; smaller 2024 cuts; Apr-2024 Python team affected. 3-day in-office mandate. H-1B includes Google + Alphabet subsidiaries via USCIS."
Apple Inc,800,1500,2300,2500,150,2023-08-31,121,hybrid-3,98109;98004,1056,803,1185,219000,"Seattle SLU (333 Dexter / 555 Tower) Apple ML team + Bellevue retail engineering. Small WA presence relative to Cupertino. Aug-2023 retail/services 121 WA WARN; otherwise hiring. 3-day in-office Tue/Wed/Thu mandated."
T-Mobile US,5800,7800,8500,7000,2200,2023-08-24,5000,hybrid-3,98006;98007,789,612,873,158000,"Bellevue Factoria HQ (12920 SE 38th St); 2023 Aug ~5k US cut (estimated ~1.5k WA); Oct-2025 announced 1,500 add'l corporate cut. 3 day in-office posture. H-1B from USCIS; wage LCA Bellevue."
Salesforce Inc,1100,1900,2200,1900,400,2023-01-04,1000,hybrid-3,98101,489,308,395,212000,"Seattle Salesforce Tower (Rainier Square) downtown. Jan-2023 10% global cut (~250 WA WARN); 2024 product reorg. 3-day in-office posture. Slack acquisition (Slack HQ historically SF; WA presence modest)."
Nvidia Corp,150,400,800,1400,0,,0,hybrid-3,98007;98004;98109,128,201,442,259000,"Bellevue + Redmond + Seattle GPU + AI software engineering hubs. No regional layoffs 2022-2025; rapid growth. 3-day in-office posture. LCA median is software engineer level. H-1B approvals tripled FY22 to FY24."
Oracle Corp,1200,2200,2400,2200,300,2024-01-25,200,hybrid-2,98004;98007,1003,724,1029,189000,"Bellevue + cloud infra ops; Oracle Cloud growth offset older product cuts. Jan-2024 health-sciences cut ~200 WA. 2-day in-office posture."
F5 Inc,2500,2800,2900,2300,800,2023-04-19,623,hybrid-3,98104,398,287,309,178000,"Seattle downtown HQ (801 5th Ave). Pure-play Seattle company; April 2023 cut 623 (WARN) ~9% workforce; 2024 add'l cut ~150. 3-day in-office. Concentrated King County exposure."
