employer_name,sector,headcount_2025,headcount_2022,headcount_yoy_change_pct,primary_worksite_zips,primary_worksite_cities,notes
Amazon.com Inc,tech,55000,75000,-3.5,98109;98101;98121;98144;98004;98007;98006,Seattle (SLU/Denny Regrade);Bellevue,"Seattle+Bellevue regional headcount; down from ~75k peak in 2022 after 27k global layoffs concentrated on Puget Sound; Bellevue tower expansion (Bellevue 600, 555 Tower, West Main) ongoing; 5-day RTO mandated Jan 2025. PSBJ 2025 Largest Employers list."
Microsoft Corp,tech,57000,55000,1.5,98052;98008;98004;98033;98109,Redmond (main campus);Bellevue;Seattle,"Redmond main campus + Bellevue and Issaquah satellites + Seattle Lincoln Square. Net regional headcount roughly flat 2022-2025 despite 10k Jan-2023 and 6k+ 2024-25 layoffs because of AI/Azure hiring. PSBJ 2024 + 10-K segment disclosure. Do not aggregate Bellevue satellites into Redmond main campus."
Boeing Co,aerospace,66000,55000,5.0,98204;98275;98203;98055;98057;98188,Everett;Mukilteo;Renton;Tukwila;Auburn,"WA state employment ~66k as of late 2025 per Boeing employment statistics; Everett widebody (777/777X/767), Renton 737 MAX, Auburn fabrication, Tukwila. 2024 IAM 751 strike Sep-Nov 2024 ended with 38% wage increase over 4 yrs. 737 MAX rate cap of 38/mo (FAA after Jan-2024 Alaska 1282 door plug)."
University of Washington,public,33000,30000,3.3,98195;98105;98109;98104,Seattle (UW Seattle campus + UW Medicine downtown),"UW Seattle + UW Medicine + Harborview. Includes faculty, staff, residents. PSBJ Largest Employers 2024. Bothell + Tacoma campuses small."
Providence Health & Services,healthcare,21000,19500,3.8,98203;98026;98036;98012;98201;98208,Everett;Edmonds;Mill Creek,"WA regional headcount; Providence Regional Medical Center Everett is largest single facility. Includes Swedish (Providence-affiliated) Seattle facilities. PSBJ 2025."
Costco Wholesale (HQ),retail-hq,16000,14000,7.1,98027;98029;98028,Issaquah HQ + warehouse staff in region,"HQ Issaquah; figure includes corporate HQ + retail warehouse staff in two counties (excludes warehouses outside region). Corporate HQ ~5,000. PSBJ 2024."
Starbucks Corp (HQ),retail-hq,10500,11000,-2.3,98134;98144;98101,Seattle (SODO HQ - 2401 Utah Ave S),"Seattle Support Center (HQ) employees + WA region corporate; Brian Niccol restructuring (announced Aug 2024) drove 1,100 corporate cut Feb 2025. PSBJ 2024 + Seattle Times Feb-2025."
Fred Hutchinson Cancer Center,healthcare,6300,5800,4.3,98109,Seattle (South Lake Union),"Merged with SCCA + UW Medicine cancer programs 2022. Largest non-UW healthcare employer footprint in SLU. PSBJ 2024."
T-Mobile US,tech,7000,8500,-9.0,98006;98007,Bellevue (Factoria HQ - 12920 SE 38th St),"US HQ in Bellevue Factoria. Aug-2023 cut ~5k US (regional share ~1.5k); Oct-2025 announced further 1,500 cut. PSBJ + 10-K + Bloomberg."
Swedish Health Services,healthcare,12000,11800,1.7,98122;98104;98133;98034,Seattle (First Hill flagship);Ballard;Edmonds;Issaquah;Redmond,"Providence-affiliated; counted separately because of distinct labor footprint. PSBJ 2024."
Seattle Children's Hospital,healthcare,7800,7000,5.7,98105;98007,Seattle (Laurelhurst);Bellevue,"Main Laurelhurst campus + Bellevue clinic + Federal Way + Everett ambulatory. PSBJ 2024."
PACCAR Inc,other,3500,3300,3.0,98004;98198,Bellevue HQ;Renton (Kenworth);,"Class 8 truck OEM. HQ Bellevue + Kenworth Renton plant ~1,500 + technical center. 10-K WA disclosure."
MultiCare Health System,healthcare,6500,6000,4.2,98208;98059,Auburn;Covington;Bonney Lake;Snohomish,"Mostly Pierce; Auburn Medical Center + Covington Medical Center are King; Snohomish expansion via 2023 Kindred acquisition. PSBJ + MultiCare annual report."
Alaska Air Group,other,7500,7000,3.6,98158;98168,SeaTac (HQ - 19300 International Blvd);Seattle,"HQ SeaTac + flight operations. Hawaiian Airlines acquisition closed Sep-2024 (separate ops). Pre-merger WA headcount."
Nordstrom Inc (HQ),retail-hq,5500,6000,-4.2,98101,Seattle (downtown HQ - 1617 6th Ave),"Corporate HQ employees + flagship store + tech operations in SLU. Private buyout by Nordstrom family + Liverpool announced Dec-2024. PSBJ 2024."
Premera Blue Cross,healthcare,3200,3200,0.0,98052;98004,Mountlake Terrace HQ;Bellevue (data + ops),"Mountlake Terrace HQ on Trillium Blvd. PSBJ + 10-K. Headcount stable."
Weyerhaeuser Co,other,2400,2500,-2.0,98003,Federal Way (HQ),"Wood products / timberland REIT. HQ Federal Way (relocated from Seattle 2016). Smaller employer than its profile suggests. 10-K."
Port of Seattle,public,2800,2400,8.3,98158;98164,SeaTac;Seattle (Pier 69),"Includes seaport + airport (excluding airline tenants). Port-employed only. POS annual report."
King County government,public,15000,14500,2.4,98104;98144;98112,Seattle (downtown government center);countywide,"Includes Metro Transit operators + Solid Waste + DCHS. WA OFM + King County workforce data."
Snohomish County government,public,3300,3100,5.2,98201;98204,Everett (Snohomish County Campus);countywide,"County employees + Snohomish County Sheriff. Boeing 737 production / IAM strike risk via tax base, not direct headcount. WA OFM."
