county,origin_country,fy2020,fy2021,fy2022,fy2023,fy2024,primary_resettlement_agency,language_primary,allocation_method
King,Afghanistan,7,18,147,320,670,IRC Seattle (primary) / WRWW,Pashto/Dari,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Afghanistan,1,3,26,57,118,IRC Seattle (primary) / WRWW,Pashto/Dari,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Armenia,1,3,2,0,0,IRC Seattle,Armenian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Armenia,0,1,0,0,0,IRC Seattle,Armenian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Belarus,0,0,3,6,12,IRC Seattle,Russian/Belarusian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Belarus,0,0,4,9,19,IRC Seattle,Russian/Belarusian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Burma,26,15,6,0,0,WRWW / IRC Seattle,Burmese (Karen/Karenni),"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Burma,3,2,1,0,0,WRWW / IRC Seattle,Burmese (Karen/Karenni),"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Burundi,0,2,1,0,0,IRC Seattle,Kirundi,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Burundi,0,0,0,0,0,IRC Seattle,Kirundi,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Cameroon,0,0,0,1,2,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Cameroon,0,0,0,0,0,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Central African,0,0,0,1,2,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Central African,0,0,0,0,0,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Central African Republic,4,0,0,0,0,IRC Seattle,French/Sango,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Central African Republic,1,0,0,0,0,IRC Seattle,French/Sango,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Colombia,2,0,18,40,84,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Colombia,0,0,4,10,21,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Cuba,0,0,3,7,15,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Cuba,0,0,1,2,4,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Dem. Rep. Con,0,31,97,191,400,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Dem. Rep. Con,0,8,24,48,100,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Dem. Rep. Congo,17,0,0,0,0,IRC Seattle / LCS NW,Swahili/French,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Dem. Rep. Congo,4,0,0,0,0,IRC Seattle / LCS NW,Swahili/French,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,El Salvador,6,0,10,24,50,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,El Salvador,2,0,3,6,13,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Eritrea,25,0,29,66,138,LCS NW / IRC Seattle,Tigrinya,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Eritrea,6,0,7,17,35,LCS NW / IRC Seattle,Tigrinya,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Ethiopia,11,5,18,37,77,LCS NW / IRC Seattle,Amharic/Oromo,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Ethiopia,3,1,5,9,19,LCS NW / IRC Seattle,Amharic/Oromo,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Guatemala,0,2,14,31,66,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Guatemala,0,0,4,8,16,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Honduras,0,0,10,24,50,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Honduras,0,0,3,6,13,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Iran,9,23,40,69,144,JFS Seattle,Farsi/Dari,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
