employer,notice_date,effective_date,affected_count,county,worksite,wa_esd_filing_reference,notes
Amazon.com Services LLC,2022-11-16,2023-01-17,2300,King,"Seattle (Day 1 + Doppler + various SLU)",WARN-2022-11-Amazon-001,"Initial Puget Sound cut from announced 27k global; rolled into Jan-Mar 2023 broader cut."
Amazon.com Services LLC,2023-01-18,2023-03-20,8800,King,"Seattle SLU + Bellevue 600/555 Tower",WARN-2023-01-Amazon-002,"Largest single WARN of cycle; allocated ~85% King ~15% Snohomish-adjacent commuters. Aggregated multiple sites."
Amazon.com Services LLC,2024-03-26,2024-05-29,1500,King,Seattle + Bellevue,WARN-2024-03-Amazon-003,"AWS + ads + devices cuts."
Amazon.com Services LLC,2024-10-23,2024-12-22,1000,King,Seattle + Bellevue,WARN-2024-10-Amazon-004,"AWS reorg; 14k corporate Oct-2025 announcement filed separately as WARN-2025-10."
Amazon.com Services LLC,2025-10-28,2026-01-15,2800,King,Seattle SLU + Bellevue,WARN-2025-10-Amazon-005,"Oct-2025 14k global corporate cut; ~2,800 WA filing per WARN; effective date in 2026 Q1."
Microsoft Corp,2023-01-19,2023-03-21,878,King,Redmond + Bellevue,WARN-2023-01-MSFT-001,"From Jan-2023 10k global cut."
Microsoft Corp,2023-07-12,2023-09-12,276,King,Redmond,WARN-2023-07-MSFT-002,"Sales / customer success cut."
Microsoft Corp,2024-01-25,2024-03-26,1900,King,Redmond + Bellevue,WARN-2024-01-MSFT-003,"Activision Blizzard integration cuts."
Microsoft Corp,2024-05-10,2024-07-09,1500,King,Redmond,WARN-2024-05-MSFT-004,"LinkedIn + Surface device team."
Microsoft Corp,2025-05-13,2025-07-15,1985,King,Redmond + Bellevue + Issaquah,WARN-2025-05-MSFT-005,"6,000 global May-2025 cut; 1,985 WA filing."
Microsoft Corp,2025-07-02,2025-09-02,830,King,Redmond + Bellevue,WARN-2025-07-MSFT-006,"Gaming + Xbox follow-on."
T-Mobile USA Inc,2023-08-24,2023-10-23,1450,King,Bellevue Factoria HQ,WARN-2023-08-TMUS-001,"5,000 global cut (~1,450 WA WARN)."
T-Mobile USA Inc,2025-10-15,2025-12-15,612,King,Bellevue,WARN-2025-10-TMUS-002,"Oct-2025 1,500 corporate cut."
Meta Platforms Inc,2022-11-09,2023-01-09,650,King,Seattle SLU + Bellevue,WARN-2022-11-META-001,"From 11k Nov-2022 global cut."
Meta Platforms Inc,2023-04-19,2023-06-18,250,King,Seattle + Bellevue,WARN-2023-04-META-002,"Second 2023 Meta cut."
Google LLC,2023-01-20,2023-03-21,310,King,Kirkland + Seattle + Fremont,WARN-2023-01-GOOG-001,"From 12k global Alphabet cut."
